"","A2780","Caov-3","Caov-4","DOV13","EFO-21","EFO-27","ES-2","FU-OV-1","IGROV-1","JHOS-2","JHOS-4","Kuramochi","MCAS","OAW28","OAW42","OC 314","OV-90","OV56","OV7","OVCAR-3","OVCAR-4","OVCAR-8","OVISE","OVK18","OVKATE","OVTOKO","RMG-I","SK-OV-3","TOV-112D","TOV-21G","TYK-nu"
"Nilotinib",0.0454474716787733,NA,NA,0.0456604778305538,0.00463600687772685,0.0226744269091699,NA,0.0250743700691585,0.0489294980388893,0.0176514950464968,0.120377354504447,0.0591730139044594,0.0076505832158476,NA,NA,0.00831247177517528,0.060089810221847,NA,NA,0.0019063632481434,0.0122231830119606,0.0643082833797544,NA,NA,NA,0.0182107231675701,NA,0.0149327312091651,0.0503827842460034,0.0281102460639015,0.0326584357075259
"Lapatinib",0.0695399614755693,NA,NA,0.0190707929625414,0.0795353949123819,0.164066054892352,0.0156688051497569,0.107185028597161,0.125661022938111,0.0691942143664832,0.11908330344545,0.0586999423392305,0.0554812466384209,NA,NA,0.0409379832151714,0.0361632652074846,NA,NA,0.0917509060795901,0.0437911026311447,0.0970690467394825,NA,NA,NA,0.116291408282416,NA,0.132938689552999,0.0556340330507357,0.0754941208688145,0.0374345148791252
"Crizotinib",0.123630581011196,NA,NA,0.0184548478338586,0.0105917044616417,0.0105504042872867,0.0178105693626796,0.021047488781429,0.00365836757801946,0.0103735168377612,NA,0.0146093784376128,0.0426015326750188,NA,NA,0.0224375000000006,0.0516764306540353,NA,NA,0.0156029241516264,0.00544995539741218,0.026602449151542,NA,NA,NA,0.0127357630385109,NA,0,0.0635315948800503,0.114182594393338,0.079777215351906
"Sorafenib",0.0770662368632041,NA,NA,0.0766362334659045,0.0567329684197203,0.0151007386570378,0.0173691763074328,0.0722510471886509,0.0591428388346919,0,0.00716852514053325,0.0522181572640263,0.018492387239152,NA,NA,0,0.0233423705359363,NA,NA,0.0241921318497464,0.0415932734816791,0.0561365539464012,NA,NA,NA,0.0684375000000002,NA,0,0.0649755675363482,0.033210075894745,0.0249384215852524
"Irinotecan",0.568421446750595,NA,NA,0.480791520111551,0.273978611930153,0.339680616151261,NA,0.417005053556377,0.320229682498514,NA,NA,0.189080771657498,0.355546082994722,NA,NA,NA,0.383838383779697,NA,NA,0.375004952643097,0.202985773506629,0.545032610355573,NA,NA,NA,0.335415856893463,NA,0.339595453688611,0.501030714405411,0.403503887959545,0.502113741487911
"Topotecan",0.559688639453627,NA,NA,0.413987388313823,0.299792254550652,0.262200114283054,0.548431744981789,0.213674600037886,0.393880268368669,0.303623542168153,0.298303156613645,0.283347637527176,0.321517870528609,NA,NA,0.387235566337249,0.392306048835167,NA,NA,0.188827701173492,0.38180012922404,0.49800764282404,NA,NA,NA,0.455669964348751,NA,0.252752081295395,0.469263802400397,0.461001227830973,0.446322757776659
"PD-0325901",0.498097153028617,NA,NA,0.00183007305488085,0.176666427768439,0.195630376981861,0.420176129789581,0.3237901334518,0.270253164607074,0.156446254845533,0.0278708481957038,0.272200991310462,0.288810854664504,NA,NA,0.0685338234406573,0.577315067527467,NA,NA,0.178947599311959,0.158424846551403,0.135352296614067,NA,NA,NA,0.0994019170621335,NA,0.0640051761631971,0.109116478537121,0.131716788190857,0.265102680473511
"Palbociclib",0.0990322397035849,NA,NA,0,0,0,0.0294290924294295,0,0.00797553837134276,0,0,0,0.00394361953666761,NA,NA,0.0118933131308673,0,NA,NA,0,0.0456375000000006,0,NA,NA,NA,0.0143148803255043,NA,0.0686559874236537,0.120680613212173,0.00650675897628617,0.134009455136692
"Paclitaxel",0.842599200936342,NA,NA,0.753763825191083,0.505672075000026,0.565336232595535,0.666676481292321,0.639416200956848,0.508178387734825,0.596728175594744,0.718570313737029,0.490584664859586,0.8508889208266,NA,NA,0.819496026274059,0.485994825692752,NA,NA,0.677620299521374,0.626447520489173,0.816207802780042,NA,NA,NA,0.290628105213077,NA,0.692259800488683,0.849063790231335,0.718579497460635,0.653078309818717
"Selumetinib",0.312251790914237,NA,NA,0,0.113224949371278,0.0472290518728025,0.261322938588207,0.248401377479962,0.109092588573052,0.13923964855446,0.0979306260303235,0.192115044189584,0.124932174029445,NA,NA,0.0134279174258672,0.433857148910766,NA,NA,0.163200000000001,0.0124974588475192,0.065442510700401,NA,NA,NA,0.038983491042687,NA,0.0342249999999999,0.00253171751065958,0.0433543939417839,0.107426248167224
"PLX4720",0.0168806212731698,NA,NA,0.0183400567293195,0.0152121124801259,NA,0.0872679397891918,0.0125562500000009,NA,0.00974588819522402,0.0550466585222667,0,0.00856350660176159,NA,NA,0.00792197881710009,0.00838095929371922,NA,NA,0.0566249999999991,0.00558518694661622,0.00880668538230739,NA,NA,NA,NA,NA,0.0144535162153483,0.00360857225192377,0.0727242455550326,0
"Erlotinib",0.0182631271735792,NA,NA,0.00145149353337405,0.0443850557242215,0.161534838593571,0.0207823472235324,0.116164486880648,0.1451892846298,0.00966614289070137,0.12377795580422,0.0934454016671447,0.028530477754127,NA,NA,0.0414152166324963,0,NA,NA,0.144301376051329,0.0890468689794294,NA,NA,NA,NA,0.105820028525121,NA,0.0792475338990637,0.0845724147706257,0.0680697732550301,7.59855323087732e-15
