"","A2780","Caov-3","Caov-4","DOV13","EFO-21","EFO-27","ES-2","FU-OV-1","IGROV-1","JHOS-2","JHOS-4","Kuramochi","MCAS","OAW28","OAW42","OC 314","OV-90","OV56","OV7","OVCAR-3","OVCAR-4","OVCAR-8","OVISE","OVK18","OVKATE","OVTOKO","RMG-I","SK-OV-3","TOV-112D","TOV-21G","TYK-nu"
"Nilotinib",NA,NA,NA,8.87239801647076,12.6206618446432,NA,NA,9.0163520683762,10.6046450112428,8.54571420310117,3.90585973709016,NA,10.9960505100506,NA,NA,NA,6.49571212203174,NA,NA,15.9380366897577,9.91625773412912,5.73714676467721,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lapatinib",7.13414818180304,NA,NA,8.32951684445748,10.8543949830943,8.26605777833078,NA,2391.11634741973,NA,NA,6.5695567670743,NA,5.95146322792496,NA,NA,23.7468706904796,NA,NA,NA,10.0205274316694,8.78026751017756,4.36547617106095,NA,NA,NA,NA,NA,NA,13.7199036013994,8.29116203446483,6.86457938631886
"Crizotinib",2.7445119149714,NA,NA,8.42116527375746,10.0117908073168,10.023339609871,NA,8.05519965440402,14.04467544891,11.0070186236974,NA,9.07983542592758,6.52951904148772,NA,NA,NA,NA,NA,NA,8.89307954979498,25.1486685936587,7.40755298888621,NA,NA,NA,9.4733613574755,NA,NA,NA,2.66972161678852,4.85296146918692
"Sorafenib",4.26104884439126,NA,NA,4.43405753500575,5.52168968952683,8.98579796946438,8.59092816222983,6.06598942279224,5.16652071394349,NA,11.199055622654,5.59363831370337,8.41548735082031,NA,NA,NA,7.76858549625309,NA,NA,7.66976003168585,6.68087658203457,5.31713702343962,NA,NA,NA,NA,NA,NA,6.91656610033928,6.79473549362624,7.58584650900919
"Irinotecan",0.0641266313681158,NA,NA,0.0822995955479791,0.64638946637255,0.505901066311279,NA,0.306111936479907,0.663829848783899,NA,NA,1.73734811027296,0.561580511846792,NA,NA,NA,0.212047114912429,NA,NA,0.342810237184615,1.58181994177439,0.0824035933818764,NA,NA,NA,0.306083556315384,NA,0.408053540132664,0.130847884813538,0.32987906253526,0.0916168671934004
"Topotecan",0.0579854034202035,NA,NA,0.179021998981347,0.522416561193465,1.03475634635251,0.0776853171967086,2.38097681733135,0.404574616587494,0.603098349453003,1.02352652239774,0.826183527509729,0.710558245645212,NA,NA,0.325946368389776,0.247227107182658,NA,NA,1.31282338963084,0.411492985383693,0.0760312960803323,NA,NA,NA,0.221129480951318,NA,0.74973431884287,0.181300534685973,0.198459686244885,0.12724353826525
"PD-0325901",0.087841694783648,NA,NA,16.1066112998699,NA,NA,0.113878044784304,3.83341914194714,12.4280428319561,NA,12.5168640159448,NA,0.910929294297168,NA,NA,NA,0.024445511679366,NA,NA,10849.1510872356,516.785213889687,34.2223944104562,NA,NA,NA,1926.4317796745,NA,16.7584039701696,31.1030998743588,10.2535463006554,NA
"Palbociclib",NA,NA,NA,NA,NA,NA,12.2470412029287,NA,NA,NA,NA,NA,13.1791031341532,NA,NA,9.67183016676411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4823710155548,11.5053571499854,166.716762534619
"Paclitaxel",0.00470208912250946,NA,NA,0.00522812568739927,0.0292098313954956,0.01928195674209,0.0223769043407055,0.00927961198211963,0.0270628998680833,0.0175728304693201,0.0073832620512534,0.0427695715359963,0.00450438348296563,NA,NA,0.0100684424716409,0.00954550202740373,NA,NA,0.00446818847234284,0.00816152911387144,0.00656133489387906,NA,NA,NA,5.41680487883628,NA,0.0113302008468636,0.00616996374537111,0.00366742613407853,0.00408499662289531
"Selumetinib",1.2749513228595,NA,NA,NA,71.7702351186867,NA,0.507804187820428,NA,29.062804100327,26.2356523498533,NA,NA,6.35123515544969,NA,NA,36.1329799340282,0.146367882144594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8089190876563,21.1702613350779,NA
"PLX4720",9.04973876876971,NA,NA,11.3766452915403,8.96494790163699,NA,NA,NA,NA,10.2591455388622,39888042.2821061,NA,NA,NA,NA,NA,10.7152360872554,NA,NA,NA,NA,10.5643184379705,NA,NA,NA,NA,NA,NA,13.4935083029111,4.39116965201684,NA
"Erlotinib",10.1218381252518,NA,NA,17.0937305802599,NA,NA,NA,35.2585239620372,NA,10.2837211257558,10.6543011692412,NA,NA,NA,NA,NA,NA,NA,NA,NA,5346.43242601575,NA,NA,NA,NA,11.8587056052703,NA,16.2660533845186,11.8125092682836,6.12445262410043,NA
