"","A2780","Caov-3","Caov-4","DOV13","EFO-21","EFO-27","ES-2","FU-OV-1","IGROV-1","JHOS-2","JHOS-4","Kuramochi","MCAS","OAW28","OAW42","OC 314","OV-90","OV56","OV7","OVCAR-3","OVCAR-4","OVCAR-8","OVISE","OVK18","OVKATE","OVTOKO","RMG-I","SK-OV-3","TOV-112D","TOV-21G","TYK-nu"
"PD-0325901",0.172855936624286,NA,0.17196799066218,0,0.0945725567971489,0.12659374095184,0.14719108954836,0.127099586083634,0.263277374342933,NA,NA,0.0389822258817831,NA,0.0803739679609797,0.0456348087225328,0.032489302276454,0.255868235411355,0.0332262005156203,NA,0.0110110333677371,0.0189563988160287,0.0378724452538026,0.0256965222001104,0.165617202814881,0.0514930404632274,0.0432087371893135,0.172047492722777,0.0340962885356019,0.0106883749630487,0.110691930971282,0.14786139202292
"Crizotinib",0.0334479340001926,NA,NA,0,0.00686629243650771,0.0070224568637823,0.105296474388168,NA,0.0952564090440665,NA,NA,0.0402865579576207,NA,0.0176071070892136,0,NA,0.0618563543399223,0,NA,0.0217207274939138,0.00980310393850559,0,0,0,NA,0,NA,0.0272231291113518,0.00330410061973905,0.0881562909456002,0
"Irinotecan",0.156042598531241,NA,0.263003834944844,0.10003342009719,0.0393308145292606,0,0.222825272068626,0.00452110162814705,0.154945518689404,NA,NA,0.0238960147602105,NA,0.125448566856779,0.149064790922914,0.275913091169106,0.0785385462295914,0.0395919676390066,NA,0.0389505220664399,0.014531746628765,0.153376037071701,0.00478837265490642,0.214916928944396,0.0708425652195714,0.0147521162664373,0.0174512724958206,0.129560746556663,0.146401186465803,0.118780835932282,0.174276719431104
"Selumetinib",0.293626415542172,NA,NA,0.0317805523039913,0.112946821349978,0.175034886292048,0.173085194040102,NA,0.220534291764053,NA,NA,0.0475542220995929,NA,0.0639640887821845,0.000658593146848574,NA,0.198241219472656,0,NA,0.00459519809327863,0.00076044114794066,0.0358941167089418,0.000111537030453357,0.0408739484670242,NA,0,NA,0.122716461914492,0,0.113655116045119,0.166128235781619
"PLX4720",0.036102496956371,NA,NA,0.131480785846731,0.0130353144897928,0.00695293378882312,0.132944154715444,0,0.0871194380028993,NA,NA,0.0486346158183362,NA,0.0472463714677084,0.0048117871266996,NA,0.042105842933806,0.0723816256036017,NA,0.0396743258192679,0.00914403089735879,0.0168613194757168,0.0184448490857768,0.0368605799572111,0.0415055948581235,0.0932771759270399,0.058489093342544,0.0839628070968583,0.0242092439371569,0.122789475825118,0.0556573450707942
"Topotecan",0.415035826236659,NA,NA,0.292215982718007,0.0733199037871404,0.109354139622591,0.447326455744367,NA,0.180939344586144,NA,NA,0.0747005426175573,NA,0.331288321504628,0.338199223513138,NA,0.108698719083978,0.353730233031959,NA,0.137977851096954,0.0571312186432954,0.367415967443373,0.070844026060054,0.311549047791844,NA,0.175800838211462,NA,0.158336428026026,0.410396087532358,0.206230540118634,0.313058349038324
"Sorafenib",0.235624135497729,NA,0.11671306469387,0.397100478340068,0.0121994213384548,NA,0.0818825447156558,0.0177399162719194,0.06464331095739,NA,NA,0.0162455543926778,NA,0.109711225026567,0.0990452166491405,0.0259122770065888,0.0658564959889626,0.017043121999138,NA,0.0928582402020806,0.107547499429305,0.0778586528547126,0.0877696049232614,NA,0.0107042723831366,0.033522472868984,0.0244746080234621,1.83133626165912e-15,0.112329483120754,0.0371285456166402,0.0695616582130608
"Erlotinib",0.0480173825975849,NA,0.119977129986767,0.00449715327531507,0.0969341471121416,NA,0.0850547157637586,0.0949714158265014,0.268742637592148,NA,NA,0.0374692583535763,NA,0.0535034794685187,0.11542242607128,0.0663229071364073,0.0721029602654492,0.0191931304917998,NA,0.13193620416725,0.0640688213151868,0.0617973859608571,0.145772529459688,NA,0.182847413523017,0.0820526104188584,0.225365857533737,0.139086315500833,0.0485836295441545,0.129560176414043,0.142568600415575
"Nilotinib",0.0816925019221521,NA,0.0302982960646531,0.123316906284483,0.0323936013881527,NA,0,0.1081587353784,0.0282325183870194,NA,NA,0,NA,0,0.046244454793815,0.00634115883827919,0.0436025036603194,0.0300162845640251,NA,0.0276684981480444,0.0591486806117453,0.0813262512073735,0.00879329439702864,NA,0.0152410039608167,0.0195838961507048,0.0418423289406615,0.00899334581262645,0.0214294322692483,0.0421301097337151,0.075129022659263
"Palbociclib",0.350300855491049,NA,0.0607915298790876,0.293631875352611,0.0886946763639293,NA,0.220803972511223,0.0564058496058183,0.243586545085627,NA,NA,0.083626576299529,NA,0.0192994168943615,0.0842872681815975,0.109571405972798,0.0649720993903594,0.0434771063052536,NA,0,0.0359654671308798,0.0108168581940768,0.01005273465857,NA,0.161383886596124,0.144597894282232,0.114790739516932,0.0172950176553656,0.221287159270181,0.145936351786358,0.156049824900076
