"","A2780","Caov-3","Caov-4","DOV13","EFO-21","EFO-27","ES-2","FU-OV-1","IGROV-1","JHOS-2","JHOS-4","Kuramochi","MCAS","OAW28","OAW42","OC 314","OV-90","OV56","OV7","OVCAR-3","OVCAR-4","OVCAR-8","OVISE","OVK18","OVKATE","OVTOKO","RMG-I","SK-OV-3","TOV-112D","TOV-21G","TYK-nu"
"PD-0325901",1.53271826562675,NA,0.440937434729662,NA,0.863931778080929,2.37282260911262,NA,NA,0.290660866597519,NA,NA,NA,NA,58.9530486023793,752.4401258559,21.1598248521436,0.175905222991053,NA,NA,NA,3.20210313854564,NA,NA,NA,NA,NA,8.34265928884944,11.0424552888302,NA,23.8743561214616,0.790517314766763
"Crizotinib",1.64880022259364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79846611838902,NA,NA
"Irinotecan",2.3694907741406,NA,1.34431364444363,3.96152236983036,NA,NA,2.7024297103107,16.5575572848081,NA,NA,NA,NA,NA,NA,20.7754667384343,1.483172435202,NA,17.7946389017045,NA,NA,66.2526970560611,2.32216982052744,NA,1094.20554411959,NA,17.9239399963611,11.3018264458002,127.98384852408,2.21859369569822,NA,1.1794513665593
"Selumetinib",54.863906708503,NA,NA,NA,312506280.79189,NA,NA,NA,10.3179542783829,NA,NA,NA,NA,NA,NA,NA,8.97140466440277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9020090016056,NA
"PLX4720",NA,NA,NA,NA,14.3814600683317,14.7408159490619,NA,NA,15.4371481645287,NA,NA,NA,NA,NA,16.2877248559994,NA,68.6201882376394,12.361197433098,NA,NA,23.3016812720364,82.0053811813593,13.4311170112655,NA,NA,16.0666507300348,25.1251813119036,20.6445675706223,29.6640482592117,8.95275381603918,NA
"Topotecan",0.0790525730468292,NA,NA,0.302956344295736,NA,1.35452521429601,0.0814781315735805,NA,1.68974380816201,NA,NA,3.04666098568209,NA,0.383742322712979,0.109057471450879,NA,4.48174954498325,0.268171631541087,NA,1.01881848104609,11.9222600829266,0.223120742132638,2.26084097762669,NA,NA,1.00183008212146,NA,NA,0.131817504424171,1.19343551216762,0.121486919570886
"Sorafenib",2.14969499094621,NA,4.18473710198667,0.263649995034077,12.5679093920044,NA,5.83857946157367,11.2131773989248,6.69075615612814,NA,NA,11.5265427116145,NA,4.3380976675735,20.9227888782909,9.89235001411464,6.61271759087524,11.3555398326305,NA,5.06247699818577,NA,5.90347748634768,5.330609291019,NA,13.2258047838372,9.58063758233158,10.0863197530659,NA,4.91733916957859,9.66914418437521,6.89922397101638
"Erlotinib",NA,NA,63.9913656163351,3.31619127469816,164136.110111787,NA,NA,NA,1.82664739342454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684.197779221092,NA,63.1840390173765,NA,NA,NA,NA,NA,NA,12.8008636763583,403357857136.175
"Nilotinib",2.2525323096535,NA,3.48610080698252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12043457872202,NA,NA,NA,NA,3.11755558043508,NA,NA,2.72719749904956,NA,NA,NA,NA,NA,NA
"Palbociclib",1.57064579401052,NA,732.849014289769,NA,4293.10141884441,NA,1e+06,NA,12.8263934153924,NA,NA,NA,NA,NA,NA,7.9716397913489,NA,332.422101994215,NA,NA,NA,NA,NA,NA,139915549317.877,225.256456378352,705.593932463353,15.0672578868569,415.061587674846,196.053142178649,11.7067739395334
"Lapatinib",6.13217321767101,NA,4.37227671872253,6.82723636774633,NA,NA,14.5804068544976,67.4082126570687,2.84467068843305,NA,NA,318.172325205607,NA,15.5401851324792,NA,5.5355748523267,15.9648898187263,NA,NA,NA,13.9110303207911,7.44609958957337,26.3570128021075,NA,104.176468012023,27.194117695486,2.3112772546302,NA,12.2279455702916,632.834143963574,11.4962804060261
"Paclitaxel",0.00402047002326076,NA,0.0131113846886949,0.00836872402282631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00595146629228867,0.0201857616176563,NA,NA,0.0110801113929472,0.0185426600648308,0.00450938273857853,NA,NA,0.0218529364626903,NA,0.0175672490731978,0.0178729722180864,0.00922826906486707,NA,NA
