"","Cell_Line","Drug","GDSC","CCLE"
"1","A2780","Crizotinib",0.0334479340001926,0.123630581011196
"2","A2780","Erlotinib",0.0480173825975849,0.0182631271735792
"3","A2780","Irinotecan",0.156042598531241,0.568421446750595
"4","A2780","Lapatinib",0.235819459848472,0.0695399614755693
"5","A2780","Nilotinib",0.0816925019221521,0.0454474716787733
"6","A2780","Paclitaxel",0.137203764435108,0.842599200936342
"7","A2780","Palbociclib",0.350300855491049,0.0990322397035849
"8","A2780","PD-0325901",0.172855936624286,0.498097153028617
"9","A2780","PLX4720",0.036102496956371,0.0168806212731698
"10","A2780","Selumetinib",0.293626415542172,0.312251790914237
"11","A2780","Sorafenib",0.235624135497729,0.0770662368632041
"12","A2780","Topotecan",0.415035826236659,0.559688639453627
"13","Caov-3","Crizotinib",NA,NA
"14","Caov-3","Erlotinib",NA,NA
"15","Caov-3","Irinotecan",NA,NA
"16","Caov-3","Lapatinib",NA,NA
"17","Caov-3","Nilotinib",NA,NA
"18","Caov-3","Paclitaxel",NA,NA
"19","Caov-3","Palbociclib",NA,NA
"20","Caov-3","PD-0325901",NA,NA
"21","Caov-3","PLX4720",NA,NA
"22","Caov-3","Selumetinib",NA,NA
"23","Caov-3","Sorafenib",NA,NA
"24","Caov-3","Topotecan",NA,NA
"25","Caov-4","Crizotinib",NA,NA
"26","Caov-4","Erlotinib",0.119977129986767,NA
"27","Caov-4","Irinotecan",0.263003834944844,NA
"28","Caov-4","Lapatinib",0.143025411941695,NA
"29","Caov-4","Nilotinib",0.0302982960646531,NA
"30","Caov-4","Paclitaxel",0.0211284899096293,NA
"31","Caov-4","Palbociclib",0.0607915298790876,NA
"32","Caov-4","PD-0325901",0.17196799066218,NA
"33","Caov-4","PLX4720",NA,NA
"34","Caov-4","Selumetinib",NA,NA
"35","Caov-4","Sorafenib",0.11671306469387,NA
"36","Caov-4","Topotecan",NA,NA
"37","DOV13","Crizotinib",0,0.0184548478338586
"38","DOV13","Erlotinib",0.00449715327531507,0.00145149353337405
"39","DOV13","Irinotecan",0.10003342009719,0.480791520111551
"40","DOV13","Lapatinib",0.0623717229984095,0.0190707929625414
"41","DOV13","Nilotinib",0.123316906284483,0.0456604778305538
"42","DOV13","Paclitaxel",0.0402275954727232,0.753763825191083
"43","DOV13","Palbociclib",0.293631875352611,0
"44","DOV13","PD-0325901",0,0.00183007305488085
"45","DOV13","PLX4720",0.131480785846731,0.0183400567293195
"46","DOV13","Selumetinib",0.0317805523039913,0
