Cell_Line,Drug,GDSC,CCLE
A2780,Crizotinib,0.033447934,0.123630581
A2780,Erlotinib,0.048017383,0.018263127
A2780,Irinotecan,0.156042599,0.568421447
A2780,Lapatinib,0.23581946,0.069539961
A2780,Nilotinib,0.081692502,0.045447472
A2780,Paclitaxel,0.137203764,0.842599201
A2780,Palbociclib,0.350300855,0.09903224
A2780,PD-0325901,0.172855937,0.498097153
A2780,PLX4720,0.036102497,0.016880621
A2780,Selumetinib,0.293626416,0.312251791
A2780,Sorafenib,0.235624135,0.077066237
A2780,Topotecan,0.415035826,0.559688639
DOV13,Crizotinib,0,0.018454848
DOV13,Erlotinib,0.004497153,0.001451494
DOV13,Irinotecan,0.10003342,0.48079152
DOV13,Lapatinib,0.062371723,0.019070793
DOV13,Nilotinib,0.123316906,0.045660478
DOV13,Paclitaxel,0.040227595,0.753763825
DOV13,Palbociclib,0.293631875,0
DOV13,PD-0325901,0,0.001830073
DOV13,PLX4720,0.131480786,0.018340057
DOV13,Selumetinib,0.031780552,0
DOV13,Sorafenib,0.397100478,0.076636233
DOV13,Topotecan,0.292215983,0.413987388
EFO-21,Crizotinib,0.006866292,0.010591704
EFO-21,Erlotinib,0.096934147,0.044385056
EFO-21,Irinotecan,0.039330815,0.273978612
EFO-21,Lapatinib,0.123783332,0.079535395
EFO-21,Nilotinib,0.032393601,0.004636007
EFO-21,Paclitaxel,0.011543718,0.505672075
EFO-21,Palbociclib,0.088694676,0
EFO-21,PD-0325901,0.094572557,0.176666428
EFO-21,PLX4720,0.013035314,0.015212112
EFO-21,Selumetinib,0.112946821,0.113224949
EFO-21,Sorafenib,0.012199421,0.056732968
EFO-21,Topotecan,0.073319904,0.299792255
EFO-27,Crizotinib,0.007022457,0.010550404
EFO-27,Irinotecan,0,0.339680616
EFO-27,PD-0325901,0.126593741,0.195630377
EFO-27,Selumetinib,0.175034886,0.047229052
EFO-27,Topotecan,0.10935414,0.262200114
ES-2,Crizotinib,0.105296474,0.017810569
ES-2,Erlotinib,0.085054716,0.020782347
ES-2,Lapatinib,0.007234842,0.015668805
ES-2,Paclitaxel,0,0.666676481
ES-2,Palbociclib,0.220803973,0.029429092
ES-2,PD-0325901,0.14719109,0.42017613
ES-2,PLX4720,0.132944155,0.08726794
ES-2,Selumetinib,0.173085194,0.261322939
ES-2,Sorafenib,0.081882545,0.017369176
ES-2,Topotecan,0.447326456,0.548431745
FU-OV-1,Erlotinib,0.094971416,0.116164487
FU-OV-1,Irinotecan,0.004521102,0.417005054
FU-OV-1,Lapatinib,0.128700863,0.107185029
FU-OV-1,Nilotinib,0.108158735,0.02507437
FU-OV-1,Paclitaxel,0.013739764,0.639416201
FU-OV-1,Palbociclib,0.05640585,0
FU-OV-1,PD-0325901,0.127099586,0.323790133
FU-OV-1,PLX4720,0,0.01255625
FU-OV-1,Sorafenib,0.017739916,0.072251047
IGROV-1,Crizotinib,0.095256409,0.003658368
IGROV-1,Erlotinib,0.268742638,0.145189285
IGROV-1,Irinotecan,0.154945519,0.320229682
IGROV-1,Lapatinib,0.238887572,0.125661023
IGROV-1,Nilotinib,0.028232518,0.048929498
IGROV-1,Paclitaxel,0.058862295,0.508178388
IGROV-1,Palbociclib,0.243586545,0.007975538
IGROV-1,PD-0325901,0.263277374,0.270253165
IGROV-1,Selumetinib,0.220534292,0.109092589
IGROV-1,Sorafenib,0.064643311,0.059142839
IGROV-1,Topotecan,0.180939345,0.393880268
Kuramochi,Crizotinib,0.040286558,0.014609378
Kuramochi,Erlotinib,0.037469258,0.093445402
Kuramochi,Irinotecan,0.023896015,0.189080772
Kuramochi,Lapatinib,0.070622808,0.058699942
Kuramochi,Nilotinib,0,0.059173014
Kuramochi,Paclitaxel,0,0.490584665
Kuramochi,Palbociclib,0.083626576,0
Kuramochi,PD-0325901,0.038982226,0.272200991
Kuramochi,PLX4720,0.048634616,0
Kuramochi,Selumetinib,0.047554222,0.192115044
Kuramochi,Sorafenib,0.016245554,0.052218157
Kuramochi,Topotecan,0.074700543,0.283347638
OC 314,Erlotinib,0.066322907,0.041415217
OC 314,Lapatinib,0.096189602,0.040937983
OC 314,Nilotinib,0.006341159,0.008312472
OC 314,Paclitaxel,0.079469283,0.819496026
OC 314,Palbociclib,0.109571406,0.011893313
OC 314,PD-0325901,0.032489302,0.068533823
OC 314,Sorafenib,0.025912277,0
OV-90,Crizotinib,0.061856354,0.051676431
OV-90,Erlotinib,0.07210296,0
OV-90,Irinotecan,0.078538546,0.383838384
OV-90,Lapatinib,0.029107599,0.036163265
OV-90,Nilotinib,0.043602504,0.06008981
OV-90,Paclitaxel,0.002116867,0.485994826
OV-90,Palbociclib,0.064972099,0
OV-90,PD-0325901,0.255868235,0.577315068
OV-90,PLX4720,0.042105843,0.008380959
OV-90,Selumetinib,0.198241219,0.433857149
OV-90,Sorafenib,0.065856496,0.023342371
OV-90,Topotecan,0.108698719,0.392306049
OVCAR-3,Crizotinib,0.021720727,0.015602924
OVCAR-3,Erlotinib,0.131936204,0.144301376
OVCAR-3,Irinotecan,0.038950522,0.375004953
OVCAR-3,Lapatinib,0.027773346,0.091750906
OVCAR-3,Nilotinib,0.027668498,0.001906363
OVCAR-3,Paclitaxel,0.018419392,0.6776203
OVCAR-3,Palbociclib,0,0
OVCAR-3,PD-0325901,0.011011033,0.178947599
OVCAR-3,PLX4720,0.039674326,0.056625
OVCAR-3,Selumetinib,0.004595198,0.1632
OVCAR-3,Sorafenib,0.09285824,0.024192132
OVCAR-3,Topotecan,0.137977851,0.188827701
OVCAR-4,Crizotinib,0.009803104,0.005449955
OVCAR-4,Erlotinib,0.064068821,0.089046869
OVCAR-4,Irinotecan,0.014531747,0.202985774
OVCAR-4,Lapatinib,0.008566277,0.043791103
OVCAR-4,Nilotinib,0.059148681,0.012223183
OVCAR-4,Paclitaxel,0.002938977,0.62644752
OVCAR-4,Palbociclib,0.035965467,0.0456375
OVCAR-4,PD-0325901,0.018956399,0.158424847
OVCAR-4,PLX4720,0.009144031,0.005585187
OVCAR-4,Selumetinib,0.000760441,0.012497459
OVCAR-4,Sorafenib,0.107547499,0.041593273
OVCAR-4,Topotecan,0.057131219,0.381800129
OVCAR-8,Crizotinib,0,0.026602449
OVCAR-8,Irinotecan,0.153376037,0.54503261
OVCAR-8,Lapatinib,0.084085154,0.097069047
OVCAR-8,Nilotinib,0.081326251,0.064308283
OVCAR-8,Paclitaxel,0.104870818,0.816207803
OVCAR-8,Palbociclib,0.010816858,0
OVCAR-8,PD-0325901,0.037872445,0.135352297
OVCAR-8,PLX4720,0.016861319,0.008806685
OVCAR-8,Selumetinib,0.035894117,0.065442511
