"Drug","CI","mCI"
"Sorafenib",0.607407407407407,1
"Erlotinib",0.616666666666667,1
"Topotecan",0.8,0.981132075471698
"PD-0325901",0.797385620915033,0.949152542372881
"Lapatinib",0.772058823529412,0.933333333333333
"Selumetinib",0.722689075630252,0.916666666666667
"Irinotecan",0.716666666666667,0.888888888888889
"Palbociclib",0.660869565217391,0.827586206896552
"Paclitaxel",0.696296296296296,0.704545454545455
"Crizotinib",0.456140350877193,NA
"PLX4720",0.633333333333333,NA
"Nilotinib",0.591666666666667,NA
