,ENSG00000146648,ENSG00000130768,ENSG00000186529,ENSG00000116649,ENSG00000146729,ENSG00000105755,ENSG00000168143,ENSG00000235109,ENSG00000180638,ENSG00000023697,ENSG00000280055,ENSG00000158125,ENSG00000133466,ENSG00000152894,ENSG00000130382,ENSG00000198729,ENSG00000023909,ENSG00000178919,ENSG00000162419,ENSG00000138772,ENSG00000124003,ENSG00000054654,ENSG00000063587,ENSG00000122557,ENSG00000171903,ENSG00000138271,ENSG00000241878,ENSG00000177427,ENSG00000198909,ENSG00000164342,ENSG00000188508,ENSG00000104327,ENSG00000070718,ENSG00000116044,ENSG00000203780,ENSG00000173083,ENSG00000178038,ENSG00000111885,ENSG00000127955,ENSG00000116521,ENSG00000170477,ENSG00000102471,ENSG00000135253,ENSG00000004455,ENSG00000197043,ENSG00000165325,ENSG00000121851,ENSG00000075711,ENSG00000185684,ENSG00000165799,ENSG00000123136,ENSG00000186395,ENSG00000144635,ENSG00000185989,ENSG00000150782,ENSG00000214711,ENSG00000129194,ENSG00000120162,ENSG00000146674,ENSG00000243468,ENSG00000163209,ENSG00000134504,ENSG00000184178,ENSG00000047365,ENSG00000160294,ENSG00000159899,ENSG00000130702,ENSG00000144029,ENSG00000126777,ENSG00000182165,ENSG00000074211,ENSG00000133116,ENSG00000115561,ENSG00000214049,ENSG00000134215,ENSG00000161243,ENSG00000075568,ENSG00000160961,ENSG00000154864,ENSG00000156026,ENSG00000230937,ENSG00000147081,ENSG00000168003,ENSG00000132801,ENSG00000105991,ENSG00000142686,ENSG00000164181,ENSG00000143499,ENSG00000182704,ENSG00000197641,ENSG00000177494,ENSG00000147872,ENSG00000127663,ENSG00000157557,ENSG00000167981,ENSG00000132849,ENSG00000115295,ENSG00000132434,ENSG00000155016,ENSG00000236519,drug_response
COLO 205,-0.550363329,-0.07877719,2.941946231,-2.165388492,-0.377484354,0.226713627,0.973411631,0.592557529,-0.829617399,0.482113017,1.684757413,0.535003597,-0.507004231,-0.148003908,0.497404665,-0.908626824,-0.797032356,-0.572924668,0.68847816,1.144721789,0.282223722,0.550533391,-0.066062194,-1.048010782,0.480198657,-0.669468277,-0.698018329,-0.584425244,-1.284514273,1.940555308,-0.397918684,0.907216399,-1.559434253,-0.010205846,1.618308466,0.315620004,0.224922356,1.198168514,-1.468955612,1.333554948,-0.505585081,1.530069619,-1.65533298,-0.973109461,0.150402795,-0.659656635,0.949719808,0.019388367,-0.955222727,-0.279316406,0.693301223,1.307358122,-1.013351534,-0.756386939,0.010089446,0.151786177,-0.270934722,-0.864626105,0.621604959,0.910041591,4.067062832,-1.08339273,-0.288246718,0.101320598,0.378327281,0.41583292,-0.795147229,0.92323636,-1.014678617,-1.374094159,0.04662153,-0.347181335,0.872904379,1.314664151,-0.722026727,-0.828486263,0.201590295,0.710406981,-0.277382446,0.72010418,-0.400462089,0.222497188,1.727496127,2.472013736,0.835659725,-0.634429522,-0.661729096,0.200314833,1.5695255,-0.417431679,-0.584623312,1.000260806,-0.461397099,0.463708093,-0.317778573,0.710565757,-1.089584124,0.645373182,-0.880283993,0.143757344,0.034415229
NCI-H2369,1.655758848,-0.585801008,-0.687210924,0.358297806,0.384946263,-0.220278419,-0.422335599,2.072795367,-0.768456442,-0.709414166,1.352179206,-0.849085949,0.227022488,0.891924201,-0.260240911,-0.753419326,-0.293521514,-0.323022708,-0.053661315,1.114505286,0.359748866,-1.577422819,0.600898856,2.702421557,0.668390351,-0.456509438,0.946379225,-0.569571589,0.45885365,0.613808289,-0.421329558,-0.468260234,0.008110378,1.281496915,-0.480012958,0.118074513,1.208344485,-0.483210562,1.084612801,0.406610753,-0.478501546,0.06857806,1.006328498,0.071185631,0.427756471,0.195194587,1.039501072,-0.077182104,0.224063962,-0.345116789,-1.693038675,0.685501467,-0.726024237,-0.331923996,1.844055646,-0.176711518,-0.169840638,-0.080001004,1.474505205,0.453322702,-0.308772095,-0.396909748,-1.011650097,-0.392437578,-1.607617554,0.649527357,-0.35772684,-1.416812177,0.055812087,1.017510736,1.250017621,-0.446622326,-0.162828676,-0.380282382,-0.881851457,0.114115482,-0.6700972,-0.644252968,3.064777985,0.004433765,0.601638031,-0.465635636,1.369057401,-1.158531958,0.565578922,-1.35122187,-0.295081817,-0.074824084,1.909120998,-0.328627704,-0.452856442,0.886494999,-0.770762009,0.479067787,-0.19506192,-0.335745011,1.547133071,-1.106400556,1.598979248,-1.551459167,0.13100442
NCI-H2373,0.553755487,-0.770716286,-0.630019904,-0.211697162,0.210433151,1.156900256,-0.640553529,-0.613178165,-0.255678513,-0.758592107,-1.093321902,1.183209536,-0.548558637,0.580651708,1.407435861,-0.775317092,-2.42551289,1.891700047,-0.8398046,1.046432259,-0.591685437,-1.215838732,-0.140944636,1.014293257,-0.605425365,-0.596366345,-0.681498776,2.286830717,0.756285737,-1.39893296,-0.529027748,-0.360733777,-0.300199318,0.426500624,-0.891715534,-0.695329965,0.092829402,0.398421386,0.728935806,0.313556029,-0.396523992,0.684659661,0.655510969,-1.484929581,0.73415007,0.377726464,0.086898472,1.369135565,-0.677984687,-0.171119606,-1.324567418,-0.908474243,-1.219416772,0.728530957,1.395988312,-0.329894779,0.454361144,-0.501478809,0.401569298,-0.560966011,-0.324737981,-0.339501416,-1.262794294,0.496404384,-0.374291427,2.47244051,-1.108495224,0.065015694,0.43873666,-0.492920343,1.2514651,-0.346653222,0.94619685,-0.678470345,-0.741833322,0.296475643,-0.181638734,-0.834680104,2.731326916,0.320905399,-0.595741628,-0.156490413,0.429125025,-1.367977177,-0.567323053,0.744624789,1.095275702,-0.844226431,-0.695214538,-0.391656025,-0.792884117,1.179743781,-0.074511654,0.513859361,0.110449986,-0.464644006,1.363045574,-0.114007218,1.134555162,-0.744885057,0.084539853
NCI-H2461,1.079158836,-0.723537243,-0.533540737,0.161594592,1.098060176,-0.029014602,-0.11627845,1.3548082,-0.081152255,-0.877495997,-0.048837044,-0.792817775,-0.341964409,0.478327982,0.574371502,-0.912423367,0.29613369,-0.311548991,-1.402581166,1.08113171,-0.095440428,-2.043128077,-0.303940348,1.967681726,-0.101846796,0.296374338,-0.21932992,0.37742155,0.546456034,0.908684864,-0.626763654,-0.524275683,0.534976343,0.747950022,0.021871741,-0.257983914,-0.103528587,-0.67381829,0.836779445,1.477085014,0.222206185,0.553645502,0.250564678,-0.67625782,0.878960041,-0.479951532,0.65394251,1.230742513,0.864156011,-0.326527737,-0.002357556,0.001288802,-1.223341454,0.768982175,0.580438305,-0.66737518,1.19201066,-0.888123378,1.273793015,1.060869017,0.029642872,0.382711371,-0.305344059,0.585299051,-0.63954968,1.767621829,-0.20449397,-0.597961084,-0.678290113,0.12119376,1.666193462,-0.420326995,0.36433185,-0.539100665,-0.719756891,-0.736077221,0.063585629,-1.08046435,2.068686633,0.124144288,-0.551919617,0.967237991,0.818933772,-1.064174138,0.398061921,-0.240741983,-0.269525768,-0.258751923,1.073623663,-0.310242774,-0.620865057,0.664622391,-0.814892458,-0.700203294,-1.667629819,-0.843288977,1.392046836,1.8575296,0.247895896,-1.161796548,0.025676538
NCI-H2591,0.950764569,-0.690101203,0.071107328,-0.944802587,-0.568643209,1.105857291,-0.479979249,-0.944717591,1.33015886,0.513711653,1.021311563,0.432305913,0.900994375,0.088358149,-0.87407582,0.084085215,-0.37209609,-0.649167467,-0.437029248,1.214766444,0.165832346,-1.29437678,0.694380725,0.926782385,-0.536902906,-0.528459618,-0.445820246,1.976590845,1.420325246,0.465381033,-1.215246253,-0.472957049,0.463040421,0.82411748,1.369015494,-0.365893419,1.790112485,-0.851406125,0.274243486,0.739430259,-0.234495597,-0.891185414,-0.629535689,0.217026804,0.869898622,0.369285701,0.086032802,1.407257598,0.22051714,-0.745269057,-1.119526516,0.169113437,-0.579353556,0.111152289,0.805892342,-0.025128508,1.471896715,-0.420999862,0.655838508,4.13327056,-0.434512083,0.345366933,-0.041470139,0.538467921,-0.788572025,-0.771068235,-0.563600316,-0.969047421,-1.105841091,0.387725366,1.945751642,-0.027295719,0.967432542,1.337545981,-0.935361718,-0.984264288,0.107236535,-1.756186469,2.725490551,-0.267904805,-0.439093245,0.005734905,0.648094479,-0.710982113,0.593605321,1.210911236,1.346640216,-1.46506643,1.43352407,-0.314905639,-0.265708344,0.942942788,-1.11716621,0.698548353,0.003740125,-0.074834788,1.576724917,1.994233444,2.033293089,0.072061316,0.092938688
NCI-H2595,-0.123342409,-0.535163495,-0.22216361,0.161604641,-0.84754903,-0.438601719,-0.43493139,1.937419123,-0.049276116,-0.249700377,-0.683309133,-0.792091305,-1.197781858,0.778988485,2.374781973,-0.582051111,1.032493737,0.269206194,0.074949983,1.234392185,-0.582629134,-1.002467696,0.763147329,-0.182087578,0.076989533,-0.129476472,0.253055057,1.16825756,0.52132108,-0.962856767,-0.495951497,-0.429122774,0.902839803,1.257875155,-0.954047277,0.391155658,-0.254993921,0.470085393,0.298931463,-0.135978645,0.283403107,0.844858247,-1.325718989,0.678530737,-0.766088907,-0.859711853,-0.797988868,-0.337436171,-0.392580886,-0.39226401,-0.665442777,-0.757623141,-0.934657835,-0.362552825,0.866966866,-1.109214713,0.655701126,-0.939490549,-0.355911333,1.742791256,-0.199313082,-0.11937153,0.222330654,0.334822015,1.136055718,-0.136282751,1.611198254,0.042433578,0.470448374,0.02415454,1.449101697,-0.69855375,-0.414920941,1.711109897,-0.912251982,0.658316832,2.211680313,-1.4991659,2.876545557,0.96065467,-0.607446568,0.034061273,-0.340058113,2.094831082,0.011583055,0.811611164,-0.261377971,-1.282738624,-0.33498992,-0.198496747,-0.677026368,-1.291290725,0.647701779,-0.584117571,1.044980989,0.31819712,0.753946982,0.442733066,0.203994232,-0.416841844,0.060629569
NCI-H2722,0.923024947,-0.691736439,-0.675522128,-0.650620114,-0.203328239,1.047617012,-0.419910749,0.250616614,-0.626901891,0.459352542,-0.465642419,0.145803741,-0.7800763,0.316251257,0.36698719,0.237322986,-0.141157476,-0.141873946,-0.877505035,0.783894799,-1.006213504,-1.582162737,0.885093928,1.271235979,-0.492289529,-0.183081328,-0.559017735,0.932670327,0.668863865,-1.158773455,-0.446395844,-0.469734706,0.267247885,1.365410789,-0.793815996,-0.495028252,0.240244505,-0.537772976,0.712112471,0.611641747,-0.528961632,-0.87919015,-0.343574808,-0.415525464,0.783402823,-0.218409798,0.430020211,0.82824947,0.241459463,-0.111504662,-1.106107123,0.098252552,0.284916098,-0.239550405,1.120245904,-0.990372223,-0.168124122,-0.884586676,1.585920997,0.117586952,-0.370651362,0.078397674,-1.625288032,-0.720102352,0.583679921,1.005270495,0.352163704,-0.951959471,1.157294769,-0.659432407,-0.535945909,-0.450019353,0.624762387,-0.65989766,-0.844170906,-0.127449079,0.730122764,0.594250456,1.793950837,0.557819532,-0.702342823,-0.031439293,0.52258,-0.683331264,-0.473478815,0.698887106,-0.856552041,-0.324045605,0.200376004,-0.301883303,-0.550047195,-1.60466225,0.2420504,0.542612421,0.946153916,-1.033419584,1.787281638,0.556315703,0.318521852,-1.084908511,0.129899826
NCI-H2731,1.612731967,-0.732287083,-0.579765945,0.279786207,0.749175398,-0.286195301,-0.317296718,-0.044515445,3.134954429,0.611282907,-1.027044938,0.424423155,-0.855839654,0.832061585,3.103726167,-0.826436165,1.372515007,-0.184161644,0.194515273,1.003008093,-0.483954762,-0.384781671,-0.406319279,1.420741625,-0.399850893,-0.618045648,-1.374664206,-0.044863315,1.057381868,-0.74607828,-0.646500547,-0.19635067,0.795136653,0.746616168,-0.69757193,-0.008465917,-0.517343069,-0.497098336,0.89708063,0.831633138,-0.446442898,0.232011517,-0.48405293,0.263190478,-0.068865076,-0.375424569,-0.929803658,1.762931338,-0.283686017,0.045266099,0.780819399,0.51139394,0.893124863,1.006800763,-0.345031936,-0.25212757,-0.435234272,-0.706598264,0.305587735,-0.541583357,-0.439200502,-1.449871323,-1.252607966,0.764199089,1.438944121,-0.561780897,0.98333339,0.164375228,1.116302923,-0.068498083,0.380133291,-0.422508068,1.289915198,-0.463357635,-0.778585254,-0.392247261,0.122965695,-0.358799725,2.676677151,0.480194463,-0.665217766,0.18706708,0.625680274,-0.808544363,-0.258609885,1.065959608,0.759524546,-0.60649201,0.901494938,-0.3062334,-0.616272397,-1.537281882,0.353091256,-0.420342399,0.224359626,-0.748113503,1.348246481,1.263210524,-0.16777106,-0.92160402,0.05993964
NCI-H2795,0.021044583,-0.372138199,-0.386033598,-1.792532973,-0.406441603,1.245803657,1.958022653,1.225911631,-0.467928041,-0.100831232,-0.995577604,-0.863627663,4.637852499,0.068257639,-1.605870601,0.393507897,-0.254150906,-0.030281413,-0.518005889,1.203831371,-0.02764006,-0.946226324,-1.050513618,1.437935794,-0.739849133,0.250037518,0.329118561,0.854919607,0.660943945,2.804933563,-0.006471787,-0.468072619,-1.4063996,1.876833638,1.897375369,1.486944507,-0.03160933,0.174692103,-0.177621638,-0.343605383,-0.513267075,0.00256649,-0.119235257,-0.743088802,-1.031332215,-0.266897404,-2.035884356,-0.890051126,0.00035932,-1.042845086,0.249577473,-0.26226863,-0.624408641,0.588123623,0.778128331,-1.111576188,1.279242215,-0.943589505,1.579640273,1.009485097,-0.17078945,1.701439421,-0.525235463,1.469171673,0.392986802,0.475008197,1.007098148,-0.453849225,0.977827607,0.290977165,0.495314959,-0.314431885,-0.119477063,-0.570982271,-0.237355496,1.397233862,-0.218765391,-0.146824258,1.874533153,1.711973941,-0.609058904,1.294273379,0.132185476,-0.604067095,-0.050680468,0.403631943,0.620468675,0.115478259,2.312387783,-0.33160094,-0.22691576,-1.237472038,-0.936799915,-0.321154651,1.61745039,0.284479131,0.514122393,-0.419444093,-0.702551342,-0.729341554,0.055099682
NCI-H2818,0.857278668,-0.784714034,-0.64266318,-0.175618644,-1.224968094,1.13460351,-0.711522115,1.527159842,-0.238660537,-0.239445959,0.598833487,-0.629983798,-1.177386777,0.630789123,1.019573558,-0.850699271,0.953904621,-0.672844685,-0.398378091,1.052161403,0.167942363,-1.051979861,0.681514241,0.001838875,0.76802383,-0.746087324,-0.462660241,1.521100508,1.212234751,-0.661428339,-0.420247946,-0.437908945,-0.913872864,0.932400201,-0.042043159,-1.340865274,0.401212537,-0.008757635,1.088705383,1.039616788,-0.75331442,0.337261853,0.555499273,-0.778942951,-0.030673636,0.188909832,-0.074512207,1.015488223,-0.799636818,-0.531326355,-0.265100006,0.332251103,0.2109138,-0.669248684,1.414342131,-0.506752223,-0.695714136,0.673968416,1.719714657,0.411722211,-0.328156412,-0.319023283,0.055215516,0.405950568,0.017242358,1.896409413,-0.794840456,-1.342964012,-0.493433226,-0.467684488,1.145028848,-0.491090124,0.844890484,-0.681740986,-0.89842326,1.197525323,1.005697484,-0.671633469,2.720472034,-0.104221019,-0.682280662,0.883140577,-0.283181438,-0.825733357,-0.78296022,1.726203304,1.039729938,-0.44412259,-1.977497515,-0.133501886,-0.523116702,0.996812306,-0.709830911,0.868798637,-0.469385514,-0.863580591,0.459882465,-0.1717467,0.404133237,-0.255440637,0.059569435
